htid	access	rights	ht_bib_key	description	source	source_bib_num	oclc_num	isbn	issn	lccn	title	imprint	rights_reason_code	rights_timestamp	us_gov_doc_flag	rights_date_used	pub_place	lang	bib_fmt	collection_code	content_provider_code	responsible_entity_code	digitization_agent_code	access_profile_code	author	catalog_url	handle_url
caia.ark:/13960/t3hx2g55s	1	pdus	106058		MWICA	b10785048	339212			18023397	Decorative textiles; an illustrated book on coverings for furniture, walls and floors, including damasks, brocades and velvets, tapestries, laces, embroideries, chintzes, cretones, drapery and furniture trimmings, wall papers, carpets and rugs, tooled and illuminated leathers, by George Leland Hunter; with 580 illustrations, 27 plates in colour.	J. B. Lippincott Company; The Dean-Hicks Company, 1918.	bib	2014-05-04 03:25:05	0	1918	pau	eng	BK	MWICA	clarkart	umich	clark	open	Hunter, George Leland, 1867-1928.	https://catalog.hathitrust.org/Record/106058	https://hdl.handle.net/2027/caia.ark:/13960/t3hx2g55s
caia.ark:/13960/t6xw5jg0k	1	pd	350036		MWICA	b10736256	1286898			11032940	The theory of color in its relation to art and art-industry. By Dr. Wilhelm von Bezold ... Translated from the German by S.R. Koehler. With an introduction and notes by Edward C. Pickering ...	L. Prang and Company, 1876.	bib	2014-05-04 03:25:05	0	1876	mau	eng	BK	MWICA	clarkart	umich	clark	open	Bezold, Wilhelm, i.e. Johann Friedrich Wilhelm von, 1837-1907.	https://catalog.hathitrust.org/Record/350036	https://hdl.handle.net/2027/caia.ark:/13960/t6xw5jg0k
